logon,{G2H1-V3LL26UJ-4609MBGD},3/6/2010 1:41:56,ONS0995,PC-3585,Logon
device,{Y6I8-I2LO77NI-8263FFFU},3/6/2010 1:47:08,ONS0995,PC-3585,Insert
http,{C5O3-K3KK36TF-3444YDYN},3/6/2010 1:47:22,ONS0995,PC-3585,http://wikileaks.org
device,{R6O4-Q6TK19WO-2378PYOS},3/6/2010 1:48:47,ONS0995,PC-3585,Remove
logon,{I9P2-Z8JX07HI-2460KGXN},3/6/2010 2:40:55,ONS0995,PC-3585,Logoff
logon,{X6F2-G7RK34PF-6119MNWN},3/9/2010 12:04:06,ONS0995,PC-3585,Logon
device,{T6M6-V7HH64YF-6253NFTK},3/9/2010 12:57:17,ONS0995,PC-3585,Insert
device,{J6N9-T3AN23NV-9781KHHG},3/9/2010 2:10:35,ONS0995,PC-3585,Remove
logon,{C0Q0-Q7NF61RO-0237KQXF},3/9/2010 2:32:32,ONS0995,PC-3585,Logoff
logon,{Q1W9-X7EB31VJ-6835VJPN},3/12/2010 3:03:42,ONS0995,PC-3585,Logon
device,{E4Z3-J3YP97FO-3445TUDC},3/12/2010 3:12:18,ONS0995,PC-3585,Insert
device,{F5E3-U9QK34HM-3404OFAO},3/12/2010 3:22:00,ONS0995,PC-3585,Remove
logon,{T7Y9-Q2LD36CL-0630ZOMX},3/12/2010 3:29:02,ONS0995,PC-3585,Logoff
logon,{I9Q8-A6SN35RS-7732TJRL},3/16/2010 5:31:57,ONS0995,PC-3585,Logon
device,{O6Y7-Y5BO88JF-0919JXJK},3/16/2010 5:52:24,ONS0995,PC-3585,Insert
device,{N2K1-W2HW73KA-9256IDLX},3/16/2010 5:58:31,ONS0995,PC-3585,Remove
logon,{K8V2-C7RN96HD-2871XQZF},3/16/2010 6:06:30,ONS0995,PC-3585,Logoff
logon,{H9A7-G9XK94ZM-6166AIOL},3/19/2010 6:46:47,ONS0995,PC-3585,Logon
device,{I8G0-X2DD58JN-6372VACI},3/19/2010 6:49:14,ONS0995,PC-3585,Insert
device,{P9A9-G3BE85UM-3445XJCZ},3/19/2010 6:54:17,ONS0995,PC-3585,Remove
logon,{B2Z8-D2NX57XP-5870ZDFI},3/19/2010 6:55:32,ONS0995,PC-3585,Logoff
logon,{I7P3-B2NK51OW-1892ESZM},3/19/2010 22:04:38,ONS0995,PC-3585,Logon
device,{Q4E5-V8XA18EF-0280QQZJ},3/20/2010 1:47:28,ONS0995,PC-3585,Insert
http,{N5X1-H1SK37SS-9208ENYS},3/20/2010 01:59:32,ONS0995,PC-3585,http://wikileaks.org
device,{Y2H2-W4AE27KN-4301QKDP},3/20/2010 5:38:08,ONS0995,PC-3585,Remove
logon,{K6D9-V5LZ17OM-8387EOQC},3/20/2010 8:10:12,ONS0995,PC-3585,Logoff
