logon,{Y7H8-F0UT33DP-6899JOZY},08/21/2010 05:20:34,ABB0427,PC-8506,Logon
device,{I9C5-U2RE66QS-6389OZVN},08/21/2010 05:21:53,ABB0427,PC-8506,Connect
http,{M1J6-O3GE95KB-6415AMKT},08/21/2010 05:25:03,ABB0427,PC-8506,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php,spy isreal overthrow covert sabatoge sabatoge europe aisa china europe conspiracy distort bait middle-east restricted spy restricted lie middle-east aisa overthrow distort conspiracy covert top-secret europe china forgery middle-east evade surveillance confidential isreal china china restricted currency sabatoge chronicle evade isreal blackmail confidential evade middle-east evade overthrow surveillance distort currency evade top-secret restricted aisa forgery report isreal overthrow middle-east sabatoge currency evade top-secret forgery
device,{X1A6-T5EM81UV-8537TNAN},08/21/2010 05:25:05,ABB0427,PC-8506,Disconnect
logon,{L6H3-L0LE68OY-2865PCBG},08/21/2010 05:53:25,ABB0427,PC-8506,Logoff
logon,{A7H2-G9OZ46PF-9914LLYV},08/27/2010 00:19:19,ABB0427,PC-8506,Logon
device,{N3A5-S4KN87QR-7023UUQP},08/27/2010 04:34:49,ABB0427,PC-8506,Connect
http,{Z2Z6-J4TH79WW-5415ZJAK},08/27/2010 04:36:13,ABB0427,PC-8506,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php,deceit report china russia top-secret restricted distort restricted clandestine restricted 2010 distort restricted spy isreal lie chronicle 2010 distort europe restricted distort clandestine china distort europe spy evade forgery covert restricted subterfuge europe currency russia sabatoge lie currency sabatoge forgery isreal covert 2010 covert spy china surveillance overthrow confidential lie distort handler evade surveillance lie
device,{G7W4-S0KD33AK-2553UQOS},08/27/2010 04:57:13,ABB0427,PC-8506,Disconnect
logon,{N8F7-G3SD46HH-5274JMAF},08/27/2010 05:39:51,ABB0427,PC-8506,Logoff
